82875,08/07/2020,80018,1879,44369
83622,08/08/2020,81534,1906,45006
84369,08/09/2020,82767,1925,45335
85116,08/10/2020,83812,1950,45723
85862,08/11/2020,85023,1979,46313
86608,08/12/2020,86504,1999,47084
87354,08/13/2020,88136,2023,47678
88100,08/14/2020,89917,2042,48288
88846,08/15/2020,91795,2076,48946
89592,08/16/2020,93490,2100,49346
90338,08/17/2020,95007,2122,49692
91084,08/18/2020,96653,2152,50508
91830,08/19/2020,98658,2182,51358
92576,08/20/2020,100810,2225,52086
93322,08/21/2020,102948,2248,52769
94068,08/22/2020,105337,2286,53458
94814,08/23/2020,107379,2313,53968
95560,08/24/2020,109234,2335,54262
96306,08/25/2020,110949,2362,54657
97052,08/26/2020,112653,2399,55327
97798,08/27/2020,114663,2449,56149
98544,08/28/2020,117172,2499,57051
99290,08/29/2020,119751,2540,58156
100036,08/30/2020,121930,2575,58775
100782,08/31/2020,124132,2605,59162
101528,09/01/2020,126279,2654,59904
102274,09/02/2020,128833,2705,60943
103020,09/03/2020,131300,2759,61828
103766,09/04/2020,134069,2812,62828
104512,09/05/2020,136966,2863,63891
105258,09/06/2020,139171,2898,64496
106004,09/07/2020,141424,2930,64886
106750,09/08/2020,143914,2988,65849
107496,09/09/2020,146511,3034,67092
108242,09/10/2020,149146,3079,68289
108988,09/11/2020,152373,3132,69466
109734,09/12/2020,155558,3206,70881
110480,09/13/2020,158122,3239,71434
111226,09/14/2020,160679,3273,72091
111972,09/15/2020,163678,3326,73422
112718,09/16/2020,166694,3404,74981
113464,09/17/2020,170373,3465,76636
114210,09/18/2020,173703,3535,78273
114956,09/19/2020,177048,3585,79671
115702,09/20/2020,180119,3626,80438
116449,09/21/2020,182900,3652,81131
117196,09/22/2020,185890,3716,82927
117943,09/23/2020,189488,3784,84767
118690,09/24/2020,192966,3838,86624
119437,09/25/2020,196631,3910,88324
120184,09/26/2020,200566,3988,90142
120931,09/27/2020,203799,4044,91179
121678,09/28/2020,206579,4082,91754
122425,09/29/2020,210309,4154,93664
123172,09/30/2020,214446,4221,95829
123919,10/01/2020,218625,4288,97956
